CODGEO;P22_POP;P16_POP;SUPERF;NAIS1621;DECE1621;P22_MEN;NAISD24;DECESD24;P22_LOG;P22_RP;P22_RSECOCC;P22_LOGVAC;P22_RP_PROP;NBMENFISC21;PIMP21;MED21;TP6021;P22_EMPLT;P22_EMPLT_SAL;P16_EMPLT;P22_POP1564;P22_CHOM1564;P22_ACT1564;ETTOT24;ETAZ24;ETBE24;ETFZ24;ETGU24;ETOQ24;ETTEF124;ETTEFP1024
01001;859;767;15.95;51;33;354;8;4;379;354;11;14;303;346;s;25820;s;76.9798398259956;46.0049478765973;91.8870024109221;525;28;431;19;4;0;3;10;2;17;1
01002;273;243;9.15;14;11;121;1;4;175;121;41;13;106;115;s;24480;s;27.0446852904247;9.04468529042466;14.0355580853539;166;2;133;4;1;0;0;2;1;3;0
01004;15554;14081;24.6;1325;808;7107.01247632609;175;118;7973.37070832312;7107.01247632609;125.143124125927;741.215107871097;3202.57535148641;6855;50,0;21660;17,0;8290.94341057301;7350.72257310609;7504.16167296549;9752.37381715907;1005.74464122363;7479.60020720097;592;2;33;57;411;89;420;132
01005;1917;1671;15.92;137;52;814.669984514292;25;12;920.955244744725;814.669984514292;7.74996689180245;98.5352933386311;594.426394401458;800;61,0;24610;s;249.507304863317;157.607315868829;300.815018893963;1228.75377077801;63.3233972939973;999.457256892939;49;2;4;10;25;8;38;5
01006;114;110;5.88;5;4;57;1;3;71;57;8;6;41;51;s;24210;s;5;3;6;72;5;51;1;0;0;0;0;1;1;0
01007;2828;2684;33.55;200;94;1207.20545288802;21;10;1302.2131418788;1207.20545288802;42.3403831371965;52.6673058535859;881.963860175491;1184;60,0;24860;s;497.485705395361;385.772572931901;503.103381488317;1739.30825960954;105.671491793554;1395.39184852185;78;4;11;11;42;10;59;14
01008;764;750;5.22;47;26;332.634240178719;7;2;365.970372775403;332.634240178719;11.7656938576535;21.5704387390314;248.880578622472;326;s;26300;s;126.222911836798;88.0162725803085;145.496497046746;490.088621213521;18.3017330004654;390.722554235342;23;0;0;4;17;2;19;2
01009;335;336;6.94;17;21;154.492719875911;1;1;198.6328170006;154.492719875911;24.3932115689075;19.7468855557823;132.168952749496;157;s;24810;s;27.2940926719632;10.5442105556898;22.5215269330053;197.519747245533;3.69011739478447;160.395418901757;5;0;2;0;2;1;4;0
01010;1150;1124;29.26;67;44;495.48972717725;10;8;615.716755549125;495.48972717725;68.4050333839976;51.821994987877;394.980359770028;481;s;24700;s;256.46489548171;217.344019046879;266.092854274;723.611068461566;41.0567569580445;553.187740694943;24;2;5;6;9;2;18;2
01011;399;383;14.57;27;13;169.261242325661;0;4;200.928595933028;169.261242325661;16.3796656589829;15.287687948384;128.785552218004;161;s;24530;s;28.1186056040336;17.5362188814471;25.386254852173;231.923014611807;11.5211033441165;190.497124531747;6;1;0;0;3;2;6;0
