CODGEO;P22_POP0014;P22_POP1529;P22_POP3044;P22_POP4559;P22_POP6074;P22_POP7589;P22_POP90P;P16_POP;P11_POP;C22_MENPSEUL;C22_MENFAM;C22_COUPAENF;C22_FAMMONO;C22_COUPSENF;P22_ACT1524;P22_ACT2554;P22_ACT5564;P22_CHOM1524;P22_CHOM2554;P22_CHOM5564;SNEMM_23;ENCTOT25;ENCTOT24;ENCTOT23;ENCTOT22;ENCITOT25;ETCTOT25;HT26;CPG26;VV26;RT26;AJCS26;ELECTEURSLP2024;BPE_2024_B105;BPE_2024_B201;BPE_2024_C201;BPE_2024_C301;BPE_2024_D307
01001;162.0;103.0;157.0;205.0;156.0;70.0;6.0;767.0;780.0;73.6285714285714;269.971428571429;127.622857142857;24.5428571428572;117.805714285714;30.0;320.0;81.0;4.0;19.0;5.0;;8.0;11.0;16.0;17.0;6.0;8.0;0.0;0.0;0.0;0.0;0.0;663.0;0.0;0.0;0.0;0.0;0.0
01002;57.0;32.0;58.0;60.0;43.0;21.0;2.0;243.0;234.0;39.7090909090909;79.4181818181818;39.7090909090909;4.96363636363636;34.7454545454545;5.0;112.0;16.0;0.0;1.0;1.0;;2.0;5.0;3.0;3.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;228.0;0.0;0.0;0.0;0.0;0.0
01004;2992.34828800326;3161.19052681459;2998.2873925705;2661.9478176225;2365.24663766184;1179.55175142232;195.427585904984;14081.0;13839.0;2887.87209155769;4081.14758589218;1681.11414751266;691.955709756718;1741.22202066172;1078.80327945119;5271.29663465402;1129.50029309576;242.201111825769;637.776385778653;125.767143619209;2309.73466086628;280.0;269.0;209.0;218.0;224.0;310.0;1.0;0.0;0.0;1.0;0.0;8680.0;4.0;1.0;2.0;1.0;4.0
01005;362.644439947245;290.820925671494;389.153820044313;423.44084140938;310.850701218833;128.442123367294;11.6471483414398;1671.00000000001;1600.0;218.500245577158;573.155200065138;285.961404567717;39.1971515539018;247.996643943519;84.9169025144457;756.086334234555;158.454020143938;7.58581915855074;43.2838214213082;12.4537567141383;;35.0;33.0;22.0;32.0;23.0;36.0;2.0;1.0;0.0;0.0;0.0;1331.0;0.0;0.0;0.0;0.0;1.0
01006;10.0;14.0;20.0;24.0;38.0;8.0;0.0;110.0;112.0;15.5454545454545;41.4545454545454;10.3636363636364;10.3636363636364;20.7272727272727;4.0;36.0;11.0;1.0;3.0;1.0;;2.0;2.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;98.0;0.0;0.0;0.0;0.0;0.0
01007;609.931863564956;394.609456754186;629.874509146388;545.243462012805;446.225553062224;185.10506680167;17.0100886577737;2684.0;2364.99999999999;369.255877152256;825.916541061236;378.810904252066;111.802279560168;335.303357249002;113.96819129763;1085.95526883078;195.468388393438;16.9217324708053;78.2834111117138;10.4663482110354;2212.61761938489;39.0;41.0;36.0;19.0;27.0;44.0;1.0;0.0;0.0;0.0;0.0;2068.0;0.0;0.0;0.0;0.0;1.0
01008;146.173929712737;104.899601519708;150.365473640221;177.519828031446;138.087331282735;44.0305495856738;2.92328622747903;750.0;734.0;100.95651039842;225.929678452845;112.659874815524;29.6336058727712;83.6361977645499;28.6021610629119;275.816148690165;86.3042444822652;2.09674648704368;13.166621428448;3.03836508497373;;6.0;7.0;6.0;9.0;5.0;7.0;0.0;0.0;0.0;0.0;0.0;548.0;0.0;0.0;0.0;0.0;0.0
01009;50.7563783962393;37.8770211082365;65.7041086213742;72.5420148778028;66.1377771499454;39.1748528093729;2.80784703702894;336.000000000001;339.0;50.2198955803196;104.129815128514;31.5211946445578;9.06514151403508;68.0433860150967;13.8468055602055;123.275590850821;23.273022490731;0.918077661234065;2.77203973355041;0.0;;5.0;8.0;1.0;0.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;287.0;0.0;0.0;0.0;0.0;0.0
01010;237.837710022818;173.692020222622;238.51081474389;232.553678548343;177.010088597304;81.6218401058271;8.77384775919464;1124.0;1031.0;165.864903897858;315.863005519232;148.766439595196;54.207731461023;112.888834463013;52.8765810765079;417.499496735049;82.8116628833861;7.82859222519392;25.4337625182269;7.79440221462372;;21.0;13.0;14.0;16.0;17.0;25.0;1.0;1.0;0.0;0.0;0.0;822.0;0.0;0.0;0.0;0.0;0.0
01011;86.974123782832;53.090871003698;75.2314960442058;87.6377411129587;67.2401466205791;28.8256214357265;0.0;383.000000000002;374.0;50.24401350652;119.862402226102;49.3296128115848;14.3008383273445;56.2319510871727;16.3815956257052;140.06936614673;34.0461627593117;3.82333387249977;5.84653306531615;1.85123640630058;;4.0;2.0;7.0;2.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;292.0;0.0;0.0;0.0;0.0;0.0
01012;56.3531089887917;34.5348987731783;61.7282634237039;65.7959743483673;74.2944102847379;33.4748664132067;2.81847776801419;325.999999999999;306.0;60.2312686869323;93.2299337435953;40.52054351182;9.70586985405078;43.0035203777245;9.22348574829527;110.953565054907;34.9519787738613;2.03162821573882;7.84398393382781;1.90838644110527;;2.0;4.0;6.0;2.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;297.0;0.0;0.0;0.0;0.0;0.0
01013;14.2028985507247;21.304347826087;14.2028985507247;43.6231884057972;31.4492753623189;15.2173913043478;0.0;148.0;162.0;36.2962962962963;41.4814814814815;15.5555555555556;0.0;25.9259259259259;8.11594202898552;45.6521739130435;14.2028985507247;1.01449275362319;4.05797101449276;1.01449275362319;;2.0;6.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;125.0;0.0;0.0;0.0;0.0;0.0
01014;627.486305594765;532.172213697605;616.320306735627;723.175766395993;638.052600570473;294.005121178586;50.7876858269522;3379.00000000001;3458.0;397.56346451785;987.882526534432;489.882867256308;68.8303063649477;438.722551622143;175.781733610877;1115.39984521621;290.884488268507;32.218800104719;108.387537156177;28.6074247454497;2509.51262806711;60.0;51.0;45.0;47.0;39.0;73.0;0.0;0.0;0.0;0.0;0.0;2240.0;0.0;0.0;1.0;0.0;1.0
01015;113.015974871358;86.63722964332;127.558439742297;141.701472979392;123.340197267727;87.0601590013529;8.68652649455373;640.0;611.0;87.8813102251103;214.473858679705;86.1645871588175;18.9045661215239;109.404705399364;33.3133133784439;231.701137620522;59.9969684681184;0.913073383144198;5.59959374432845;0.961916532681325;;11.0;8.0;13.0;10.0;9.0;13.0;0.0;0.0;0.0;0.0;0.0;562.0;0.0;0.0;0.0;0.0;0.0
01016;99.5824266055465;44.4401050251139;100.977208758169;92.1295673827589;82.4542064211611;35.199043751477;4.21744205577304;462.000000000001;404.999999999999;45.7431884236319;140.639893419639;71.1735604060426;4.96188092954258;64.5044520840535;15.725837208565;169.549926134418;31.6930918962931;2.96805986288319;9.95679841133759;3.1130059020577;;6.0;5.0;7.0;5.0;3.0;6.0;1.0;0.0;0.0;0.0;0.0;325.0;0.0;0.0;0.0;0.0;0.0
01017;71.0;52.0;79.0;79.0;97.0;36.0;6.0;438.0;421.0;85.9090909090909;109.772727272727;52.5;9.54545454545454;47.7272727272727;16.0;135.0;25.0;6.0;10.0;2.0;;15.0;3.0;6.0;4.0;12.0;17.0;0.0;0.0;0.0;0.0;0.0;323.0;0.0;0.0;0.0;0.0;0.0
01019;2.88461538461539;2.88461538461539;2.88461538461539;4.80769230769231;9.61538461538462;1.92307692307692;0.0;25.9999999999999;20.0;3.125;9.375;3.125;0.0;6.25;1.92307692307692;5.76923076923077;4.80769230769231;1.92307692307692;0.961538461538462;0.961538461538462;;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0
01021;298.461712722311;215.511807108887;313.636114783719;320.310285398605;255.104805747229;99.3369320219595;10.6383422172894;1389.0;1374.0;164.497561701176;416.948794363711;211.308311608228;38.5642010501498;167.076281705333;76.5272695414989;530.297212680325;130.315380788786;12.9743898854157;19.6302084924075;4.75636701216654;;21.0;17.0;18.0;15.0;17.0;21.0;1.0;1.0;0.0;0.0;0.0;1083.0;0.0;0.0;0.0;0.0;1.0
